"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
11, -6.096000000000000e-02, 1.101104493875486e-02, 1.138317511811344e+00, 7.871398333644218e+01, 1.471915320710621e-04, 2.458501218993489e+05, 9.725144367224473e+04, 2.976205982117344e+02, 1.999438892495087e-01, 1.883897939242873e-01, 1.834635754224803e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
12, -6.096000000000000e-02, 1.005201445655106e-02, 1.138317889144764e+00, 7.871347510658082e+01, 1.344798752001554e-04, 2.458501986852619e+05, 9.725148880493280e+04, 2.976206376759135e+02, 1.999425187449126e-01, 1.884064557258346e-01, 1.834635941683073e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
13, -6.096000000000000e-02, 9.176489346172595e-03, 1.138318206263026e+00, 7.871304809561462e+01, 1.228143072556873e-04, 2.458502632258324e+05, 9.725152673533335e+04, 2.976206708424144e+02, 1.999413672398958e-01, 1.884204586322320e-01, 1.834636099226815e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
14, -6.096000000000000e-02, 8.377196334167581e-03, 1.138318472395679e+00, 7.871268982049105e+01, 1.121286682386590e-04, 2.458503173955445e+05, 9.725155856737895e+04, 2.976206986765073e+02, 1.999404010800943e-01, 1.884322101863555e-01, 1.834636231441153e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
15, -6.096000000000000e-02, 7.647495432058758e-03, 1.138318695476813e+00, 7.871238954319082e+01, 1.023559122089368e-04, 2.458503628053134e+05, 9.725158525005644e+04, 2.976207220079821e+02, 1.999395913169434e-01, 1.884420607291899e-01, 1.834636342267663e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
16, -6.096000000000000e-02, 6.981324775787407e-03, 1.138318882288446e+00, 7.871213808832073e+01, 9.342904050641902e-05, 2.458504008323921e+05, 9.725160759455577e+04, 2.976207415461404e+02, 1.999389132140766e-01, 1.884503097307327e-01, 1.834636435075590e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
17, -6.096000000000000e-02, 6.373150267825973e-03, 1.138319038601351e+00, 7.871192765967041e+01, 8.528173109415757e-05, 2.458504326494531e+05, 9.725162629111417e+04, 2.976207578945251e+02, 1.999383457516433e-01, 1.884572120084163e-01, 1.834636512731816e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
18, -6.096000000000000e-02, 5.817919603619812e-03, 1.138319169307584e+00, 7.871175166291496e+01, 7.784915241248142e-05, 2.458504592516340e+05, 9.725164192486691e+04, 2.976207715647787e+02, 1.999378711479958e-01, 1.884629835787967e-01, 1.834636577666690e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
19, -6.096000000000000e-02, 5.311020300440843e-03, 1.138319278541685e+00, 7.871160453951177e+01, 7.106896716694163e-05, 2.458504814809990e+05, 9.725165499034357e+04, 2.976207829893181e+02, 1.999374744122052e-01, 1.884678070091846e-01, 1.834636631934227e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
20, -6.096000000000000e-02, 4.848241379984879e-03, 1.138319369789297e+00, 7.871148161505610e+01, 6.488233726811215e-05, 2.458505000482718e+05, 9.725166590446036e+04, 2.976207925326963e+02, 1.999371429359595e-01, 1.884718362140875e-01, 1.834636677266088e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
