"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
20, -6.096000000000000e-02, 4.848241379984879e-03, 1.138319369793840e+00, 7.871148160909064e+01, 6.488181538169946e-05, 2.458505000492067e+05, 9.725166590500367e+04, 2.976207925331711e+02, 1.999371429198490e-01, 1.884718364146633e-01, 1.834636677268343e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
21, -6.096000000000000e-02, 4.425738386397544e-03, 1.138319445987567e+00, 7.871137895812883e+01, 5.923420944685456e-05, 2.458505155528529e+05, 9.725167501852804e+04, 2.976208005021002e+02, 1.999368661138501e-01, 1.884752008881958e-01, 1.834636715121435e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
22, -6.096000000000000e-02, 4.040001449122130e-03, 1.138319509590740e+00, 7.871129328584358e+01, 5.407590424782558e-05, 2.458505284957469e+05, 9.725168262609831e+04, 2.976208071542136e+02, 1.999366350896179e-01, 1.884780094030764e-01, 1.834636746719541e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
23, -6.096000000000000e-02, 3.687826125256840e-03, 1.138319562669662e+00, 7.871122182669134e+01, 4.936212284906291e-05, 2.458505392995902e+05, 9.725168897486418e+04, 2.976208127056197e+02, 1.999364423867858e-01, 1.884803532004799e-01, 1.834636773089192e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
24, -6.096000000000000e-02, 3.366286779199566e-03, 1.138319606955733e+00, 7.871116225839974e+01, 4.505288461679199e-05, 2.458505483173941e+05, 9.725169427191811e+04, 2.976208173374019e+02, 1.999362817415463e-01, 1.884823087334885e-01, 1.834636795090552e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
25, -6.096000000000000e-02, 3.072712278436010e-03, 1.138319643898448e+00, 7.871111262996713e+01, 4.111263406637014e-05, 2.458505558442208e+05, 9.725169869063406e+04, 2.976208212011591e+02, 1.999361478925875e-01, 1.884839400072153e-01, 1.834636813443727e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
26, -6.096000000000000e-02, 2.804663803568277e-03, 1.138319674710421e+00, 7.871107130175132e+01, 3.750974242260029e-05, 2.458505621263954e+05, 9.725170237605256e+04, 2.976208244237163e+02, 1.999360364194211e-01, 1.884853005668079e-01, 1.834636828751148e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
27, -6.096000000000000e-02, 2.559914588244420e-03, 1.138319700405491e+00, 7.871103689577853e+01, 3.421596723233877e-05, 2.458505673693736e+05, 9.725170544943871e+04, 2.976208271111080e+02, 1.999359436081279e-01, 1.884864351801511e-01, 1.834636841516486e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
28, -6.096000000000000e-02, 2.336431420682075e-03, 1.138319721830886e+00, 7.871100825451094e+01, 3.120592887925907e-05, 2.458505717444317e+05, 9.725170801212947e+04, 2.976208293519445e+02, 1.999358663398413e-01, 1.884873812581863e-01, 1.834636852160651e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
29, -6.096000000000000e-02, 2.132357753113159e-03, 1.138319739694307e+00, 7.871098440653543e+01, 2.845664327393691e-05, 2.458505753943278e+05, 9.725171014877288e+04, 2.976208312202422e+02, 1.999358019978849e-01, 1.884881700507438e-01, 1.834636861035224e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
