0.000000	0.000000	1.000000	0.000000
0.001000	0.010000	0.999000	0.000000
0.002000	0.019890	0.998281	0.000010
0.003000	0.029674	0.997840	0.000030
0.004000	0.039356	0.997673	0.000059
0.005000	0.048939	0.997777	0.000098
0.006000	0.058427	0.998149	0.000147
0.007000	0.067824	0.998787	0.000205
0.008000	0.077134	0.999688	0.000272
0.009000	0.086360	1.000848	0.000349
0.010000	0.095504	1.002265	0.000434
0.011000	0.104572	1.003937	0.000529
0.012000	0.113566	1.005861	0.000632
0.013000	0.122489	1.008035	0.000745
0.014000	0.131344	1.010456	0.000866
0.015000	0.140135	1.013123	0.000997
0.016000	0.148865	1.016034	0.001136
0.017000	0.157537	1.019186	0.001284
0.018000	0.166153	1.022577	0.001441
0.019000	0.174717	1.026207	0.001607
0.020000	0.183232	1.030072	0.001782
0.021000	0.191701	1.034172	0.001966
0.022000	0.200125	1.038506	0.002159
0.023000	0.208509	1.043070	0.002361
0.024000	0.216855	1.047865	0.002573
0.025000	0.225165	1.052888	0.002793
0.026000	0.233442	1.058139	0.003023
0.027000	0.241689	1.063617	0.003262
0.028000	0.249908	1.069320	0.003510
0.029000	0.258103	1.075247	0.003768
0.030000	0.266274	1.081398	0.004035
0.031000	0.274425	1.087771	0.004312
0.032000	0.282559	1.094366	0.004599
0.033000	0.290677	1.101182	0.004896
0.034000	0.298782	1.108218	0.005203
0.035000	0.306876	1.115474	0.005521
0.036000	0.314962	1.122950	0.005848
0.037000	0.323042	1.130644	0.006186
0.038000	0.331118	1.138556	0.006535
0.039000	0.339192	1.146687	0.006895
0.040000	0.347267	1.155035	0.007265
0.041000	0.355345	1.163601	0.007647
0.042000	0.363428	1.172385	0.008040
0.043000	0.371517	1.181385	0.008445
0.044000	0.379616	1.190603	0.008861
0.045000	0.387726	1.200039	0.009289
0.046000	0.395849	1.209691	0.009730
0.047000	0.403987	1.219561	0.010183
0.048000	0.412143	1.229649	0.010648
0.049000	0.420318	1.239955	0.011127
0.050000	0.428515	1.250480	0.011618
0.051000	0.436734	1.261223	0.012123
0.052000	0.444979	1.272185	0.012642
0.053000	0.453251	1.283366	0.013174
0.054000	0.461552	1.294768	0.013721
0.055000	0.469884	1.306390	0.014282
0.056000	0.478249	1.318234	0.014857
0.057000	0.486649	1.330300	0.015448
0.058000	0.495086	1.342588	0.016054
0.059000	0.503561	1.355100	0.016676
0.060000	0.512076	1.367836	0.017314
0.061000	0.520634	1.380797	0.017968
0.062000	0.529235	1.393985	0.018639
0.063000	0.537883	1.407400	0.019327
0.064000	0.546578	1.421043	0.020033
0.065000	0.555323	1.434915	0.020756
0.066000	0.564119	1.449018	0.021498
0.067000	0.572968	1.463352	0.022258
0.068000	0.581872	1.477919	0.023037
0.069000	0.590832	1.492720	0.023835
0.070000	0.599851	1.507756	0.024654
0.071000	0.608930	1.523030	0.025493
0.072000	0.618071	1.538541	0.026352
0.073000	0.627276	1.554292	0.027233
0.074000	0.636546	1.570285	0.028135
0.075000	0.645883	1.586520	0.029060
0.076000	0.655290	1.602999	0.030007
0.077000	0.664767	1.619725	0.030977
0.078000	0.674316	1.636698	0.031971
0.079000	0.683940	1.653920	0.032990
0.080000	0.693640	1.671394	0.034033
0.081000	0.703417	1.689121	0.035101
0.082000	0.713274	1.707103	0.036196
0.083000	0.723213	1.725342	0.037317
0.084000	0.733234	1.743839	0.038465
0.085000	0.743340	1.762598	0.039641
0.086000	0.753533	1.781619	0.040846
0.087000	0.763813	1.800906	0.042080
0.088000	0.774184	1.820460	0.043343
0.089000	0.784647	1.840283	0.044637
0.090000	0.795204	1.860377	0.045962
0.091000	0.805855	1.880746	0.047318
0.092000	0.816604	1.901391	0.048708
0.093000	0.827452	1.922315	0.050131
0.094000	0.838401	1.943520	0.051588
0.095000	0.849452	1.965008	0.053079
0.096000	0.860607	1.986783	0.054607
0.097000	0.871869	2.008846	0.056171
0.098000	0.883239	2.031201	0.057773
0.099000	0.894719	2.053849	0.059413
0.100000	0.906310	2.076794	0.061092
0.101000	0.918015	2.100039	0.062811
0.102000	0.929835	2.123585	0.064572
0.103000	0.941772	2.147437	0.066374
0.104000	0.953829	2.171597	0.068220
0.105000	0.966007	2.196067	0.070109
0.106000	0.978307	2.220852	0.072044
0.107000	0.990733	2.245953	0.074024
0.108000	1.003285	2.271374	0.076052
0.109000	1.015966	2.297119	0.078128
0.110000	1.028777	2.323189	0.080253
0.111000	1.041722	2.349589	0.082429
0.112000	1.054800	2.376322	0.084657
0.113000	1.068015	2.403391	0.086938
0.114000	1.081369	2.430799	0.089273
0.115000	1.094864	2.458550	0.091663
0.116000	1.108500	2.486647	0.094111
0.117000	1.122282	2.515094	0.096616
0.118000	1.136210	2.543895	0.099181
