0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.020503
0.000000	0.002050	0.092867
0.000000	0.011337	0.271998
0.000000	0.038537	0.645778
0.000000	0.103115	1.333224
0.000000	0.236437	2.455946
0.000000	0.482031	4.066872
0.000000	0.888719	6.044762
0.000000	1.493195	8.026293
0.000000	2.295824	9.498449
0.000000	3.245669	10.074652
0.000000	4.253134	9.730549
0.000000	5.226189	8.747935
0.000000	6.100983	7.463610
0.000000	6.847344	6.103482
0.000000	7.457692	4.773733
0.000000	7.935065	3.512101
0.000000	8.286275	2.329103
0.000000	8.519186	1.229264
0.000000	8.642112	0.223037
0.000000	8.664416	-0.661284
0.000000	8.598287	-1.362178
0.000000	8.462070	-1.768819
0.000000	8.285188	-1.715864
0.000000	8.113601	-1.013573
0.000000	8.012244	0.453676
0.000000	8.057612	2.556536
0.000000	8.313265	4.784123
0.000000	8.791678	6.373443
0.000000	9.429022	6.780474
0.000000	10.107069	6.063569
0.000000	10.713426	4.708161
0.000000	11.184242	3.175029
0.000000	11.501745	1.700616
0.000000	11.671807	0.356405
0.000000	11.707447	-0.852562
0.000000	11.622191	-1.936659
0.000000	11.428525	-2.907013
0.000000	11.137824	-3.773524
0.000000	10.760471	-4.541449
0.000000	10.306327	-5.200695
0.000000	9.786257	-5.706876
0.000000	9.215569	-5.956904
0.000000	8.619879	-5.768758
0.000000	8.043003	-4.890666
0.000000	7.553937	-3.087989
0.000000	7.245138	-0.353483
0.000000	0.000000	0.000000
